"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic","negLog10Padj","Regulation"
"CDH5",-1.44651229537285,0.973405762184638,-17.2571710832545,1.28835797462875e-50,1.87455628767741e-49,104.258344961787,48.7271015143992,"Down"
"SMAD9",-1.99249732734823,-0.517621487646064,-17.2557584566173,1.30678231938834e-50,1.90001706919565e-49,104.244193183056,48.7212424974555,"Down"
"NFAT5",-1.05447677345536,0.177236099947057,-17.2396431386605,1.53655371772047e-50,2.232515769625e-49,104.082762028647,48.6512054647409,"Down"
"CD200",-1.38261397641022,0.289955758279453,-17.23445837784,1.61874121070524e-50,2.35026570408618e-49,104.030830114121,48.6288830367515,"Down"
"PRR13",0.750024514463366,-0.00262934193893181,17.2325928403741,1.64937567562561e-50,2.39305177530699e-49,104.012145017479,48.6210479050277,"Not Significant"
"TEF",-1.30560341489171,0.0861781788702808,-17.230053827396,1.69200218404537e-50,2.45316418350646e-49,103.986714957205,48.6102733846902,"Down"
"GRAMD1A",0.957498553658518,-0.0324838505122032,17.2266439644356,1.75098575285535e-50,2.53689043797602e-49,103.952563648162,48.5956982884779,"Not Significant"
"MYOCD",-2.31823599131503,0.219992799579903,-17.2263708039255,1.75579880526278e-50,2.54206977941078e-49,103.949827869959,48.594812532304,"Down"
"DRD2",-3.09311938332413,0.677824078641225,-17.2255161707757,1.77094286645822e-50,2.56218865739163e-49,103.941268527192,48.5913888957281,"Down"
"POLQ",2.02066069940795,-0.502429289621459,17.2207141582583,1.85849337907498e-50,2.68696261073305e-49,103.893176564882,48.570738376762,"Up"
"ARHGAP24",-1.3641559056501,-0.0687171805522854,-17.2154925304462,1.95860875490629e-50,2.82971412654653e-49,103.840884624053,48.5482574371027,"Down"
"COL5A1",2.1836552660933,1.72704124967294,17.2152881314005,1.96263548557483e-50,2.83353772987703e-49,103.838837723827,48.5476710001503,"Up"
"HTR1D",2.45571132429915,-0.271533297695044,17.2126183094681,2.0159977746357e-50,2.9085336832938e-49,103.812101857982,48.536325902337,"Up"
"GPR124",-1.37897260459134,0.796437709386444,-17.208149898668,2.10857175286415e-50,3.03995632628518e-49,103.767356241274,48.5171326556641,"Down"
"SMOC1",-3.27000168104206,-0.942386567364856,-17.2080103859305,2.1115294770173e-50,3.0420842219765e-49,103.765959223721,48.5168287664062,"Down"
"VAV2",1.07334959514018,-0.207333673311056,17.2075261399086,2.12182788061339e-50,3.05477744663344e-49,103.761110216951,48.5150204244459,"Up"
"CXCL12",-1.89101786363963,2.32117158152316,-17.206519332614,2.14340044367418e-50,3.08367281770363e-49,103.751028603613,48.5109317074706,"Down"
"HIST1H2AM",2.40640293962258,-0.014393360967936,17.2056684780273,2.16180220622373e-50,3.10796913821941e-49,103.742508689194,48.5075233023446,"Up"
"OXER1",-1.58668162881972,-0.973650103283695,-17.2005004619344,2.27701337079114e-50,3.2713145208077e-49,103.690760943344,48.4852776985884,"Down"
"PCNA",0.976101827728813,-0.272252144835924,17.1964482428086,2.37162433279074e-50,3.4048564721814e-49,103.650187523084,48.467901190551,"Not Significant"
"TMED3",1.31391976764636,0.318370595557418,17.1959402547534,2.38375855018661e-50,3.41988560694138e-49,103.645101329955,48.4659884205828,"Up"
"HOXA9",-2.54359544387927,1.00784192111928,-17.1923590223867,2.47108103991375e-50,3.54268811099367e-49,103.609245196733,48.4506670801355,"Down"
"PGP",1.02845601420004,-0.481976255712029,17.191291877741,2.49771443524668e-50,3.57837246026618e-49,103.598560930717,48.4463144572232,"Up"
"COPG",0.757977498093015,0.0525962151273494,17.1820410404147,2.74094871837682e-50,3.92410580113502e-49,103.505945956335,48.4062592917534,"Not Significant"
"PRELP",-2.43065554186371,1.2115475985394,-17.1803263668958,2.78856675190314e-50,3.9894965447088e-49,103.488780355796,48.3990819067319,"Down"
