"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic"
"RBMX2",0.0624020506953014,-0.0407774437113614,1.51617007681896,0.130242866697641,0.161906512461555,-6.72264453652856
"SEPT11",-0.120419054744036,0.398919833598379,-1.51579366281734,0.130338030797859,0.162015001954471,-6.72321256772575
"TBR1",0.0846818400515795,-0.696686144773577,1.51570752909417,0.130359814534171,0.162032269321701,-6.72334252904612
"AQP12B",0.0705937657688837,-0.818139225880784,1.51549189029024,0.130414363318488,0.162090257835608,-6.72366785975148
"SPANXA2",0.19982384850072,0.034667801296184,1.51532395466964,0.130456857240813,0.162133257409884,-6.72392118974616
"LOC100303728",-0.109388916270629,0.0205101163414567,-1.51441431281479,0.130687217667081,0.162409720260603,-6.7252928972104
"FRRS1",-0.148402388077209,0.835680238635025,-1.51357884719325,0.130899072372985,0.162663153308963,-6.72655203193564
"CYB5D1",0.100725661562766,0.825510367864814,1.51281430465828,0.131093176792132,0.162894499427579,-6.72770367598184
"SNHG10",-0.112011338965823,-0.568828806265657,-1.51213340932529,0.131266233121153,0.163099665071553,-6.72872883631443
"NAA50",0.0628386346300622,0.20414887275517,1.51153038725848,0.131419645572761,0.163280399637423,-6.72963636906328
"C1orf144",-0.0458206067006708,-0.135206244309123,-1.51092470282733,0.131573875734219,0.163462128219275,-6.73054754823752
"PAGE5",0.112126289385543,-0.411918336373477,1.5107896669014,0.131608280175789,0.163494977127493,-6.73075064426521
"TMEM174",-0.0204798656339917,-0.621829617909988,-1.5106224863425,0.13165088411912,0.163538007561296,-6.73100206142522
"FAM90A7",-0.0467951064953122,-0.212111721263537,-1.5105786827763,0.131662048701697,0.163541980871602,-6.73106793157026
"FLJ36000",0.0382314469283329,-0.402978036067171,1.51040901464253,0.131705300394425,0.163585807798267,-6.73132305425951
"SLAMF7",-0.229605178079008,0.263273371400424,-1.51012611342191,0.131777441969671,0.163665510201897,-6.73174837765662
"POLR3B",-0.0676039869740838,0.137102649947646,-1.50965850373855,0.131896752736951,0.163803782813478,-6.73245122533664
"ELN",-0.228536865575302,1.12808715229785,-1.50931983760459,0.131983215958314,0.163901247497228,-6.73296012808449
"SLC12A3",0.199715026697099,-0.280204594795802,1.50861234326918,0.132163985148873,0.164115805667838,-6.73402289280281
